target,tier,mean_OR,min_p,n_sig,n_cond,mean_nhit
SETDB1,PRIMARY,1.908249866507114,7.507941505435601e-08,3,3,145.0
PPHLN1,SECONDARY,2.83361842578516,8.200861936233072e-06,3,3,59.0
TASOR,SECONDARY,2.943534551858207,1.5382198710987653e-05,3,3,50.333333333333336
TRIM28,UNDERPOWERED,1.7846841328395477,0.1274191577751302,0,3,13.666666666666666
ATF7IP,UNDERPOWERED,4.869983299075026,0.0579903302941923,0,3,4.666666666666667
SUV39H1,COMPARATOR,1.088311268969971,0.5305741337980511,0,3,1.0
SUV39H2,COMPARATOR,0.0,1.0,0,3,0.3333333333333333
