condition,Term,ES,NES,pval,fdr,Tag %,Gene %,leading_edge
Rest,Angiogenesis,0.4575728783899613,1.1188649089681435,0.32849162011173183,1.0,8/15,36.56%,TIMP1;PDGFA;APP;ITGAV;NRP1;LRPAP1;SPP1;STC1
Rest,UV Response Dn,0.36272187862261707,1.1097935522660225,0.26156941649899396,1.0,39/94,34.97%,IRS1;ATRN;SLC22A18;TOGARAM1;MGLL;NEK7;NOTCH2;MAP2K5;CDK13;DYRK1A;AGGF1;SMAD3;ATXN1;NR1D2;ATRX;PRKCE;PEX14;ARHGEF9;PTEN;SCAF8;DMAC2L;ATP2B4;MGMT;ABCC1;BHLHE40;INPP4B;PRKAR2B;SCN8A;SPOP;NRP1;DBP;RASA2;NIPBL;CDKN1B;ADD3;TGFBR2;MTA1;AKT3;PHF3
Rest,UV Response Up,-0.19823328309268107,-1.0898380325824102,0.0,0.6774193548387097,26/112,13.60%,FURIN;BAK1;TUBA4A;CASP3;RFC4;STIP1;GGH;CDO1;CDK2;FEN1;FKBP4;H2AX;YKT6;GLS;CCNE1;LYN;ATF3;SIGMAR1;AQP3;GRINA;AMD1;CNP;HNRNPU;POLE3;WIZ;RHOB
Rest,Pancreas Beta Cells,-0.33463618844642434,-1.0774255251299905,0.3076923076923077,0.6038709677419355,4/11,9.38%,STXBP1;FOXO1;SRPRB;SRP9
Rest,Allograft Rejection,0.3358574441865316,1.0601881326326466,0.352,1.0,54/137,38.56%,CD96;TIMP1;TLR6;CD7;TAPBP;PTPRC;CD3E;NCF4;CFP;CD247;TLR1;CTSS;CD4;IL27RA;ITK;CAPG;CD3G;IL12RB1;GZMA;FYB1;CD40;STAT1;EIF4G3;DEGS1;TRAF2;GPR65;CD2;IKBKB;ITGAL;LCP2;STAT4;NCK1;IFNAR2;LY86;PSMB10;IFNGR1;ELF4;IRF7;SIT1;TAP1;PRF1;IL16;ICAM1;LCK;LY75;EIF3D;MAP3K7;F2R;CD47;HCLS1;CD80;JAK2;WAS;UBE2D1
Rest,IL-6/JAK/STAT3 Signaling,0.349062741935901,1.0517036784974725,0.39918533604887985,1.0,19/67,25.05%,IL3RA;CRLF2;IL17RA;STAT2;IRF9;STAT3;PTPN2;IL12RB1;PTPN1;STAM2;STAT1;CSF2RA;CBL;IL15RA;IFNAR1;TNFRSF12A;TNFRSF1A;CSF2RB;IL10RB
Rest,KRAS Signaling Dn,0.3461402151228001,1.033061876070074,0.4447852760736196,1.0,29/64,38.84%,STAG3;PDE6B;RIBC2;BTG2;IDUA;MAST3;MTHFR;IFI44L;PDK2;SLC5A5;CLSTN3;CCDC106;SKIL;PLAG1;TG;TENT5C;RSAD2;SNN;FGGY;MX1;KCND1;CELSR2;ASB7;SLC25A23;DTNB;SIDT1;DLK2;CD80;VPS50
Rest,Wnt-beta Catenin Signaling,0.36768228565041183,1.0200344162475237,0.4625779625779626,1.0,10/30,27.03%,NCSTN;RBPJ;NKD1;HDAC5;PSEN2;WNT5B;HDAC11;CSNK1E;FRAT1;CTNNB1
Rest,Pperoxisome,0.3287294380825593,1.0079877562087283,0.5015075376884423,1.0,36/80,39.29%,SCP2;GSTK1;ECH1;IDH2;ABCD2;ABCB9;ABCC5;PEX6;VPS4B;DLG4;CNBP;ATXN1;LONP2;PEX14;ACOX1;CADM1;PEX11B;IDE;PEX2;ALDH9A1;PRDX5;FIS1;IDH1;HSD3B7;ACAA1;ACSL5;CRABP2;PEX5;MVP;PEX13;RETSAT;ERCC3;SOD1;SIAH1;CAT;BCL10
Rest,Epithelial Mesenchymal Transition,0.32861808080693944,1.007701011385423,0.48390342052313884,1.0,28/92,28.59%,SGCB;TIMP1;PLOD1;NOTCH2;SERPINH1;CAPG;GLIPR1;EFEMP2;APLP1;SAT1;PVR;ANPEP;TPM2;CADM1;ITGA5;TPM1;TAGLN;SERPINE2;IL32;PFN2;TNFRSF12A;COL6A2;PLAUR;GADD45B;ITGAV;QSOX1;FN1;PPIB
Rest,mTORC1 Signaling,-0.3237715836662103,-1.0,1.0,0.5550733137829913,68/176,16.47%,TUBA4A;DDX39A;CORO1A;EBP;ARPC5L;PSMD12;GOT1;CCNF;BUB1;STIP1;PSMA3;UCHL5;PLK1;AURKA;TMEM97;TUBG1;PSMD14;DHCR24;PSAT1;GPI;MCM4;EEF1E1;DDIT4;YKT6;RRM2;FADS2;HMBS;PSMG1;SORD;PSME3;SKAP2;TXNRD1;PSMA4;AK4;SLC1A5;NUP205;TOMM40;NFKBIB;SRD5A1;CDC25A;GLA;NMT1;MCM2;CCT6A;SLC7A5;MAP2K3;SDF2L1;PSMC2;POLR3G;PNP;PHGDH;HK2;HSPD1;HSPE1;CCNG1;IMMT;CDKN1A;PPIA;ACTR2;QDPR;RPN1;CALR;SCD;DHCR7;PSMB5;MLLT11;ACTR3;UNG
Rest,Mitotic Spindle,-0.2739162937338266,-1.0,1.0,0.5550733137829913,46/172,8.46%,PIF1;TUBA4A;KIF23;KIF4A;SASS6;TTK;BIRC5;SPTBN1;KIF11;LMNB1;NDC80;KIF2C;ARHGDIA;KIF20B;SMC4;TPX2;RACGAP1;BUB1;NEK2;DLGAP5;CEP72;CCNB2;INCENP;PLK1;AURKA;ESPL1;FBXO5;CDK5RAP2;CENPE;TOP2A;ANLN;NUSAP1;KNTC1;CENPJ;DST;SMC1A;BRCA2;PRC1;PALLD;KIF22;KIF15;CDK1;CDC27;CKAP5;NCK2;ECT2
