group,n,median_OR,min_OR,max_OR,mannwhitney_core_gt_control_p
core_module_SETDB1_HUSH,9,2.371473727510879,1.670975323149236,4.577890867967204,8.333417074058848e-05
control_KDs_unrelated,16,1.2194108818746021,1.0382780348646463,2.3650838346345835,8.333417074058848e-05
