target,condition,gene_name,set,mine_log2fc,authors_log2fc,mine_adj_p,authors_adj_p
SETDB1,Rest,TBX21,Th1,0.025806475930010727,-0.0850688039403422,0.9554028027739201,0.8849651918598452
SETDB1,Rest,GATA3,Th2,-0.1698646820118829,-0.1089162531652603,0.19820076878197213,0.4620036292349038
SETDB1,Rest,IFNG,Th1,0.1726311458624762,0.0008352279809984,0.650214016553417,0.9999679893083292
SETDB1,Rest,IL4,Th2,-0.5396930419622802,-0.3994694653549913,0.7328564828781491,0.835463312254479
SETDB1,Rest,IL5,Th2,-0.8446966965262213,-1.0806677201839725,0.5220047966593295,0.5674342650198685
SETDB1,Rest,STAT1,Th1,0.33625690690918986,0.3668908764120442,0.04922799656015191,0.0360550678370593
SETDB1,Rest,STAT4,Th1,0.16785109591248012,0.1563200033318176,0.17919981478974092,0.2429926904441987
SETDB1,Rest,STAT6,Th2,0.22078540195713559,0.202871737646103,0.023592664145755886,0.0459647508147951
SETDB1,Rest,IL13,Th2,-0.7023798021741782,-0.8109410132392427,0.509641018226902,0.4629054944459713
SETDB1,Rest,CXCR3,Th1,0.08211636957530295,0.0309106614945286,0.8136382938713016,0.9607933579814067
SETDB1,Stim8hr,TBX21,Th1,0.20786070058976014,0.21167236183421,0.318062714841763,0.2585958067959739
SETDB1,Stim8hr,GATA3,Th2,-0.10234085347456634,-0.0940770840046255,0.6333266910383758,0.6848917865507432
SETDB1,Stim8hr,IFNG,Th1,0.04073153813494203,0.0464644735247732,0.9772958133691864,0.9999737273492292
SETDB1,Stim8hr,IL4,Th2,-0.4848998038928549,-0.5739149685428164,0.7758687862127236,0.7800955463779267
SETDB1,Stim8hr,IL5,Th2,-1.0908566569714724,-1.5418312221039432,0.5990716458486345,0.403612723458445
SETDB1,Stim8hr,STAT1,Th1,0.20879328770442684,0.2827173167998922,0.25147128281656306,0.06164023879922
SETDB1,Stim8hr,STAT4,Th1,0.1735886029453682,0.1748325071653864,0.5063668625632972,0.4966288713863775
SETDB1,Stim8hr,STAT6,Th2,-0.016751576661638377,-0.0380660843089202,0.9224766886987253,0.8179192429941677
SETDB1,Stim8hr,IL13,Th2,-0.7191935344871386,-0.7773311452400271,0.40771623765431003,0.3507766542153627
SETDB1,Stim8hr,CXCR3,Th1,0.13555531249441277,0.1400247461127124,0.6540305050021396,0.64347556643421
SETDB1,Stim48hr,TBX21,Th1,0.2459920067021825,0.2119158663284138,0.3551110512918807,0.4190963236334893
SETDB1,Stim48hr,GATA3,Th2,-0.25442780258065306,-0.1907747959815248,0.19138831654856367,0.2832772180735268
SETDB1,Stim48hr,IFNG,Th1,-0.31176159795408775,-0.258357510156348,0.7464182658114723,0.8002826152082119
SETDB1,Stim48hr,IL4,Th2,-1.1831733264777724,-0.3906622771717766,0.2941843678998054,0.8171549135079459
SETDB1,Stim48hr,IL5,Th2,-0.4364335154588827,-1.0363196412076043,0.8102069769606546,0.4735453302705865
SETDB1,Stim48hr,STAT1,Th1,0.05304353194942742,0.0934967675277439,0.8457633874785021,0.652087105806192
SETDB1,Stim48hr,STAT4,Th1,-0.026912487632153103,0.0324077450816814,0.9341766239583545,0.9901771204999475
SETDB1,Stim48hr,STAT6,Th2,0.12113864695276645,0.116548126022689,0.38737922615594667,0.4341252850128126
SETDB1,Stim48hr,IL13,Th2,-0.14875450891298406,-0.1856667992403133,0.8708780786008667,0.8736079726728813
SETDB1,Stim48hr,CXCR3,Th1,0.017957351151638195,0.0119189546887246,0.9677601589830614,0.99996884936191
TRIM28,Rest,TBX21,Th1,-0.003783922652481049,0.022202287932042,0.9999951522985017,0.9997091997690564
TRIM28,Rest,GATA3,Th2,-0.07899536724025247,-0.1139385503618018,0.9999951522985017,0.9997091997690564
TRIM28,Rest,IFNG,Th1,-0.06799041271756433,-0.2542823378220937,0.9999951522985017,0.9997091997690564
TRIM28,Rest,IL4,Th2,0.041388165970975874,-0.5698926025126548,0.9999951522985017,0.9997091997690564
TRIM28,Rest,IL5,Th2,-0.48905136320764864,-1.3451988741462948,0.9999951522985017,0.9997091997690564
TRIM28,Rest,STAT1,Th1,0.22299840049441533,0.1641293000144799,0.9288318095890067,0.9997091997690564
TRIM28,Rest,STAT4,Th1,0.36742939882224296,0.3270989442297158,0.6705919584091155,0.8745184720486521
TRIM28,Rest,STAT6,Th2,0.4428642718715309,0.3838685750277476,0.39150344990553576,0.7242629845515999
TRIM28,Rest,IL13,Th2,-0.9761871857644377,-1.2913659156340884,0.9898937025962591,0.9997091997690564
TRIM28,Rest,CXCR3,Th1,-0.01302381975876882,-0.0102511571856498,0.9999951522985017,0.9997091997690564
TRIM28,Stim8hr,TBX21,Th1,-0.33451747752718547,-0.3328570343721505,0.972697534558706,0.8890808593690751
TRIM28,Stim8hr,GATA3,Th2,-0.08610887595089674,-0.1304848848123245,0.9999977423900263,0.9989061832484304
TRIM28,Stim8hr,IFNG,Th1,-0.3357405007958561,-0.1704695287647287,0.9999977423900263,0.9989061832484304
TRIM28,Stim8hr,IL4,Th2,-1.2668770698751852,-1.3467585065204914,0.9999977423900263,0.9989061832484304
TRIM28,Stim8hr,IL5,Th2,-1.2878129877354725,-1.646726125475893,0.9999977423900263,0.9989061832484304
TRIM28,Stim8hr,STAT1,Th1,0.08722234679921091,0.0760239364062424,0.9999977423900263,0.9989061832484304
TRIM28,Stim8hr,STAT4,Th1,0.37602921168532333,0.3277602321771513,0.9793051306973735,0.9830946952376352
TRIM28,Stim8hr,STAT6,Th2,-0.13704250265095694,-0.1522839372222251,0.9999977423900263,0.9989061832484304
TRIM28,Stim8hr,IL13,Th2,-2.2449365415633746,-2.292080063527841,0.2045038931902817,0.1998345391760755
TRIM28,Stim8hr,CXCR3,Th1,-0.048918647870200525,-0.0419823158728962,0.9999977423900263,0.9989061832484304
TRIM28,Stim48hr,TBX21,Th1,-0.008600997747384992,-0.0183050084490105,0.9997013337805538,0.9998972992319884
TRIM28,Stim48hr,GATA3,Th2,-0.10709797327504088,-0.0860923564913889,0.9997013337805538,0.9998972992319884
TRIM28,Stim48hr,IFNG,Th1,0.593786869831538,0.7135708721860832,0.9997013337805538,0.9998972992319884
TRIM28,Stim48hr,IL4,Th2,-0.4789353451998804,-0.6368632869635494,0.9997013337805538,0.9998972992319884
TRIM28,Stim48hr,IL5,Th2,-2.0364694079805314,-2.2424300266429724,0.9997013337805538,0.986786544548836
TRIM28,Stim48hr,STAT1,Th1,-0.04534537841966092,-0.0542237503221465,0.9997013337805538,0.9998972992319884
TRIM28,Stim48hr,STAT4,Th1,-0.006653036691137549,-0.0388472277891118,0.9997013337805538,0.9998972992319884
TRIM28,Stim48hr,STAT6,Th2,0.1275709002160837,0.1203028244970184,0.9997013337805538,0.9998972992319884
TRIM28,Stim48hr,IL13,Th2,-1.067244337502397,-1.1486133393804658,0.9544673264974374,0.67279415228376
TRIM28,Stim48hr,CXCR3,Th1,0.04144228634479443,0.0263682459824175,0.9997013337805538,0.9998972992319884
ATF7IP,Rest,TBX21,Th1,0.5040833552328431,0.3727041453099933,0.8768733819844138,0.9977079843441624
ATF7IP,Rest,GATA3,Th2,-0.1568314709894762,-0.0770542701103141,0.912130943984967,0.9999998869614602
ATF7IP,Rest,IFNG,Th1,0.1671492197160847,-0.007500059122412,0.912130943984967,0.9999998869614602
ATF7IP,Rest,IL4,Th2,-0.009423046503401783,0.2443910897550535,0.9975639229000631,0.9999998869614602
ATF7IP,Rest,IL5,Th2,0.27499059618031557,0.3879703374385489,0.9489761181357204,0.9999998869614602
ATF7IP,Rest,STAT1,Th1,-0.17630555672472378,-0.1228023975667346,0.912130943984967,0.9999998869614602
ATF7IP,Rest,STAT4,Th1,0.07046448048264344,0.0816117500123031,0.912130943984967,0.9999998869614602
ATF7IP,Rest,STAT6,Th2,0.05132543241535538,0.053528569800661,0.912130943984967,0.9999998869614602
ATF7IP,Rest,IL13,Th2,0.3049294044633459,0.2975468844784018,0.9402759130705044,0.9999998869614602
ATF7IP,Rest,CXCR3,Th1,0.40093478056184884,0.3506611634383977,0.912130943984967,0.9413942456751204
ATF7IP,Stim8hr,TBX21,Th1,0.08677961413040293,0.0935060923799322,0.9584591275698103,0.9999169260928858
ATF7IP,Stim8hr,GATA3,Th2,-0.09190687109190103,-0.0797905211705357,0.9584591275698103,0.9999169260928858
ATF7IP,Stim8hr,IFNG,Th1,0.10303813450764653,0.0613030451014352,0.9806497755705719,0.9999169260928858
ATF7IP,Stim8hr,IL4,Th2,-0.296266160250158,-0.3444312849498086,0.9618179537578252,0.9999169260928858
ATF7IP,Stim8hr,IL5,Th2,0.008938498345374567,-0.3460081242560331,0.9980955130164118,0.9999169260928858
ATF7IP,Stim8hr,STAT1,Th1,-0.09684483291591515,-0.0181673263137958,0.9584591275698103,0.9999169260928858
ATF7IP,Stim8hr,STAT4,Th1,0.19120834709693235,0.203652330723486,0.9584591275698103,0.9999169260928858
ATF7IP,Stim8hr,STAT6,Th2,0.016351035770016197,0.0103369211124961,0.9758406543077734,0.9999169260928858
ATF7IP,Stim8hr,IL13,Th2,-0.34568506081316885,-0.3489964489641698,0.9584591275698103,0.9999169260928858
ATF7IP,Stim8hr,CXCR3,Th1,0.13939717499790366,0.1383757147750578,0.9584591275698103,0.9999169260928858
ATF7IP,Stim48hr,TBX21,Th1,0.36642489338317275,0.3260896363932275,0.362221713951849,0.329084219628084
ATF7IP,Stim48hr,GATA3,Th2,-0.08430688793765953,-0.0157697981655886,0.8617974787546095,0.9999985737653976
ATF7IP,Stim48hr,IFNG,Th1,0.27094319750290397,0.3508182478087054,0.8783982580936502,0.8884316160932094
ATF7IP,Stim48hr,IL4,Th2,-0.5900191262551164,0.0151316196896841,0.8195548440867119,0.9999985737653976
ATF7IP,Stim48hr,IL5,Th2,-0.1730861085263194,-0.4382742750547421,0.9608494560524972,0.9903440489120272
ATF7IP,Stim48hr,STAT1,Th1,-0.017342316520775676,0.0398195520120279,0.9757040177197865,0.9999985737653976
ATF7IP,Stim48hr,STAT4,Th1,0.17451677480398128,0.2302598979758643,0.643524985789251,0.3933623433890487
ATF7IP,Stim48hr,STAT6,Th2,-0.05659485031185369,-0.0635280091671871,0.8565106167371315,0.927347866361478
ATF7IP,Stim48hr,IL13,Th2,0.05003695976862287,0.0624389373763425,0.978770858850493,0.9999985737653976
ATF7IP,Stim48hr,CXCR3,Th1,-0.010936333748622473,-0.0048453315688531,0.9856005109158132,0.9999985737653976
TASOR,Rest,TBX21,Th1,0.35042398217546383,0.263669689862489,0.5133292111450345,0.6716188353358805
TASOR,Rest,GATA3,Th2,-0.07997980596125936,-0.0407321084613312,0.7586158721191463,0.8944446325721946
TASOR,Rest,IFNG,Th1,0.29228524261309796,0.0851417432798332,0.5791741436460617,0.9351456113013212
TASOR,Rest,IL4,Th2,1.2432367138324938,1.022525458626599,0.467343002556368,0.5951165181347374
TASOR,Rest,IL5,Th2,-0.0030923189246934344,-0.3680564111560529,0.998714553436272,0.9168768386609536
TASOR,Rest,STAT1,Th1,0.10379534623577302,0.117063219599311,0.7759491323018658,0.7478459325902522
TASOR,Rest,STAT4,Th1,0.28295882999115973,0.2731150924975585,0.0786996734650922,0.1275845862911094
TASOR,Rest,STAT6,Th2,0.05619922404004383,0.0339630852768308,0.8098099445860748,0.901499625792421
TASOR,Rest,IL13,Th2,0.7595324107853436,0.4822298977689098,0.6507925672569798,0.7975674642988924
TASOR,Rest,CXCR3,Th1,-0.1417123380123245,-0.1423074923766955,0.8013187833150613,0.7954294210442577
TASOR,Stim8hr,TBX21,Th1,-0.19803406776978053,-0.1902965314612889,0.5751897146351167,0.5069454081112338
TASOR,Stim8hr,GATA3,Th2,-0.0992512477740273,-0.0873682017069369,0.7751856967511146,0.8314328660964992
TASOR,Stim8hr,IFNG,Th1,0.2547002300128014,0.2170589647270244,0.888173101372298,0.9224791204154422
TASOR,Stim8hr,IL4,Th2,0.7017049688096797,0.7988247898929522,0.7737494538699548,0.7709892855127571
TASOR,Stim8hr,IL5,Th2,0.7202636291413959,0.3307942908644418,0.8454694048901935,0.990761107603544
TASOR,Stim8hr,STAT1,Th1,0.04148854960605912,0.1016210506567502,0.9222346505582992,0.7859253646220639
TASOR,Stim8hr,STAT4,Th1,0.22385356436624293,0.2359829807974905,0.5681072994617425,0.4655996503671837
TASOR,Stim8hr,STAT6,Th2,0.08186121617001332,0.0897171533207472,0.7082492791894505,0.5946555197252709
TASOR,Stim8hr,IL13,Th2,0.2663729067100182,0.2674091694602397,0.8846382178745182,0.9218318315716924
TASOR,Stim8hr,CXCR3,Th1,-0.2559105124511527,-0.2584530015453512,0.5444303828146486,0.4553882312108948
TASOR,Stim48hr,TBX21,Th1,0.0028318969305852434,-0.0014970607435152,0.9962416896966578,0.9996154323924225
TASOR,Stim48hr,GATA3,Th2,-0.1926490374830943,-0.1459623104066537,0.5495771053060201,0.6206690341053276
TASOR,Stim48hr,IFNG,Th1,0.0013089746575704203,0.0015771083633489,0.9991862633088587,0.999784396067151
TASOR,Stim48hr,IL4,Th2,-0.7024508975075351,-0.3821800680711357,0.7376406890396439,0.8861986740805254
TASOR,Stim48hr,IL5,Th2,-0.67629143876404,-1.0403791722377893,0.7871602468473147,0.6438254587499331
TASOR,Stim48hr,STAT1,Th1,-0.03856112018635827,-0.0240921986935843,0.9324144405029056,0.9664698730515348
TASOR,Stim48hr,STAT4,Th1,0.15996708323745862,0.1709801600521983,0.6204793905453143,0.5740008770943531
TASOR,Stim48hr,STAT6,Th2,0.05243910863825915,0.0453013679042423,0.874508702642655,0.92603806905363
TASOR,Stim48hr,IL13,Th2,0.1365515834381303,0.1195007621085838,0.9290602082323977,0.9502156186816556
TASOR,Stim48hr,CXCR3,Th1,-0.010340548249353468,-0.0113718858987257,0.9863386209484062,0.990670412226882
PPHLN1,Rest,TBX21,Th1,0.11974536551086039,0.0774747267687201,0.8838370515485978,0.9361838073252648
PPHLN1,Rest,GATA3,Th2,-0.01248193872440625,-0.0230655842421596,0.9750164947256516,0.9558149785225394
PPHLN1,Rest,IFNG,Th1,-0.3940984707661482,-0.6130997753024037,0.4431792095487932,0.3567851384363737
PPHLN1,Rest,IL4,Th2,-1.5040808001518335,-1.8527133756345555,0.6415207458400405,0.5422907606562306
PPHLN1,Rest,IL5,Th2,-0.30074116071088297,-0.4496370590013619,0.9307330246775559,0.9291534236298584
PPHLN1,Rest,STAT1,Th1,0.46975000185019067,0.4444036568894862,0.012153833703546427,0.0261034167184395
PPHLN1,Rest,STAT4,Th1,-0.11813965648805391,-0.1510676427272781,0.6672297919725451,0.5665532087502692
PPHLN1,Rest,STAT6,Th2,0.03621130609033351,-0.0015941949947229,0.9122266206705797,0.9976224394826724
PPHLN1,Rest,IL13,Th2,0.3825429279214552,0.1661547164321063,0.859373382091554,0.948863460108079
PPHLN1,Rest,CXCR3,Th1,0.05214782269393878,0.0315843857268417,0.9374564340094494,0.9642577668971652
PPHLN1,Stim8hr,TBX21,Th1,0.06276260043446993,0.0589550933733369,0.8937068931589999,0.8834213582636588
PPHLN1,Stim8hr,GATA3,Th2,-0.12375492392763568,-0.1612084553518137,0.7088283953328945,0.5169194374886473
PPHLN1,Stim8hr,IFNG,Th1,0.09300089280421697,0.4291080862995799,0.9659207945784397,0.6649860005637876
