subfamily,condition,n_hit,marked_OR,marked_p,unmarked_OR,unmarked_p
ERVK,Rest,189,1.061224803720887,0.1789500102415149,1.179787942587822,0.001719347448457324
ERVK,Stim8hr,116,1.1324131078216204,0.008128639422268165,1.01023803272159,0.9086129635588305
ERVK,Stim48hr,130,1.1655278368468251,0.0001243972693765241,1.07626534068659,0.32070631244292247
ERV1,Rest,189,1.2284625339667437,1.7889682661573645e-08,1.229365081676275,0.00027440455075991306
ERV1,Stim8hr,116,1.2252496440852323,1.3122265965667104e-06,1.2247952720667499,0.004031310666866875
ERV1,Stim48hr,130,1.2373117665345506,7.951442062590503e-08,1.2671058328330747,0.00020747895807436784
