target,condition,n_hit,obs_frac_ERV,null_frac_mean,obs_OR,empirical_p
SETDB1,Rest,189,0.4973544973544973,0.31252380952380954,2.2074959156869656,0.0004997501249375312
SETDB1,Stim8hr,116,0.45689655172413796,0.31474568965517247,1.8462783606851403,0.0009995002498750624
SETDB1,Stim48hr,130,0.4307692307692308,0.31416923076923076,1.6709753231492361,0.004997501249375313
