control,target,condition,feature,n_hit,topQ_fisher_OR,topQ_fisher_p,logit_coef_z,logit_OR_perSD,logit_p
1_ERV_vs_LINE_SINE,SETDB1,Rest,silenced_ERV,189,2.4873664641809805,2.1133042219440566e-08,0.27415598293567767,1.315419969305489,2.3162030543224094e-13
1_ERV_vs_LINE_SINE,SETDB1,Rest,unmarked_ERV,189,1.7319721276940527,0.00032014788585221787,0.36723291699477045,1.4437341501762002,2.4113901741524738e-08
1_ERV_vs_LINE_SINE,SETDB1,Rest,LINE,189,0.8696380591117433,0.8072944954270144,-0.1901897115469888,0.8268022651271488,0.02878686236075655
1_ERV_vs_LINE_SINE,SETDB1,Rest,SINE,189,0.8412984277052719,0.8553354567553552,-0.30628551070445803,0.7361764032045488,0.08237923494438606
1_ERV_vs_LINE_SINE,SETDB1,Stim8hr,silenced_ERV,116,1.9309178713819546,0.0016965756607843355,0.21359340321865894,1.2381191371799745,3.505403161183558e-11
1_ERV_vs_LINE_SINE,SETDB1,Stim8hr,unmarked_ERV,116,2.0739306669984034,0.00014275607916677653,0.38347595643987764,1.4673762710750071,2.0732722964742254e-06
1_ERV_vs_LINE_SINE,SETDB1,Stim8hr,LINE,116,1.2129027711713616,0.20546112456611934,-0.10325607986377854,0.9018959865058553,0.35065757002883535
1_ERV_vs_LINE_SINE,SETDB1,Stim8hr,SINE,116,0.41415386758611084,0.9997992273966638,-0.6539631606860022,0.519980919844803,0.0042771898819795135
1_ERV_vs_LINE_SINE,SETDB1,Stim48hr,silenced_ERV,130,2.277108504536693,3.1764732306874906e-05,0.2732800450022993,1.314268247548079,1.782128931213377e-15
1_ERV_vs_LINE_SINE,SETDB1,Stim48hr,unmarked_ERV,130,2.4182803832576902,1.4019954028521667e-06,0.40587209175119565,1.5006105997081656,6.23172629973292e-08
1_ERV_vs_LINE_SINE,SETDB1,Stim48hr,LINE,130,1.227601303998614,0.17351647112013574,-0.03985476566490924,0.9609289889011429,0.6975629059872384
1_ERV_vs_LINE_SINE,SETDB1,Stim48hr,SINE,130,0.8296512233211869,0.8348724675856483,-0.7092841720714494,0.49199625610008746,0.0010052173840759838
1_ERV_vs_LINE_SINE,PPHLN1,Rest,silenced_ERV,73,2.9410566965069336,2.0836569655164858e-05,0.28624792014341544,1.3314225007954759,3.856274844506385e-15
1_ERV_vs_LINE_SINE,PPHLN1,Rest,unmarked_ERV,73,2.1376055897382416,0.0014736324396017945,0.38544565648778994,1.470269410559559,0.00032487994243106334
1_ERV_vs_LINE_SINE,PPHLN1,Rest,LINE,73,1.455199081163859,0.09040799197695029,0.3769250624218775,1.4577950616465785,0.006080868592285426
1_ERV_vs_LINE_SINE,PPHLN1,Rest,SINE,73,0.17543690205989193,0.9999976138666017,-1.6605490010136958,0.1900346222576039,9.813164174747366e-08
1_ERV_vs_LINE_SINE,PPHLN1,Stim8hr,silenced_ERV,35,4.144823597455177,7.03548129786844e-05,0.3516889553052018,1.4214663153926286,1.3690955095784858e-20
1_ERV_vs_LINE_SINE,PPHLN1,Stim8hr,unmarked_ERV,35,2.0560818491852975,0.03105098163238565,0.2779680480598343,1.3204440057871851,0.07186123749214089
1_ERV_vs_LINE_SINE,PPHLN1,Stim8hr,LINE,35,1.2639135468930915,0.3244093101326655,0.4728895462779626,1.6046241364793263,0.014131892397629138
1_ERV_vs_LINE_SINE,PPHLN1,Stim8hr,SINE,35,0.08909290819131391,0.9999531989861552,-1.9613075062013299,0.14067436801356112,7.905549226099394e-06
1_ERV_vs_LINE_SINE,PPHLN1,Stim48hr,silenced_ERV,69,3.355021850371643,3.142379903629496e-06,0.3990483531045615,1.4904056826069396,8.310865900124218e-23
1_ERV_vs_LINE_SINE,PPHLN1,Stim48hr,unmarked_ERV,69,1.1445378151260504,0.35552801357924124,0.1988922663220858,1.2200505182897559,0.0895504953467487
1_ERV_vs_LINE_SINE,PPHLN1,Stim48hr,LINE,69,1.4991971095945404,0.07928999197591458,0.36160303934517113,1.4356289406294225,0.009977972667619217
1_ERV_vs_LINE_SINE,PPHLN1,Stim48hr,SINE,69,0.18596153846153846,0.9999938403390761,-1.3584611636356707,0.2570560399349545,1.1425324435937378e-05
1_ERV_vs_LINE_SINE,TASOR,Rest,silenced_ERV,63,3.0902074898785425,3.146992064594066e-05,0.30633642168079966,1.3584392380944874,2.5218535102976262e-14
1_ERV_vs_LINE_SINE,TASOR,Rest,unmarked_ERV,63,1.532202743902439,0.07579315360287425,0.2020988780214562,1.2239690257638578,0.10176171319568264
1_ERV_vs_LINE_SINE,TASOR,Rest,LINE,63,1.164058534934867,0.34185624321784086,0.24038582196664698,1.2717397207990278,0.10675979407873397
1_ERV_vs_LINE_SINE,TASOR,Rest,SINE,63,0.31805191712312453,0.9994334839037073,-1.1238580443512827,0.32502341784150757,0.0003973884638544439
1_ERV_vs_LINE_SINE,TASOR,Stim8hr,silenced_ERV,34,6.956295525494276,5.3470715302733124e-08,0.34296816480088305,1.4091239014724,2.5531272098988065e-20
1_ERV_vs_LINE_SINE,TASOR,Stim8hr,unmarked_ERV,34,3.420531876790831,0.0003952560113040464,0.4889220894305105,1.6305576769954313,0.0005205667960419962
1_ERV_vs_LINE_SINE,TASOR,Stim8hr,LINE,34,1.5229486517868662,0.16927215750716426,0.43330884968023425,1.5423525022242688,0.027659497871627352
1_ERV_vs_LINE_SINE,TASOR,Stim8hr,SINE,34,0.1886800855005344,0.999261774386863,-2.3894330457909723,0.09168164844182337,1.3751378133582148e-07
1_ERV_vs_LINE_SINE,TASOR,Stim48hr,silenced_ERV,54,3.382056451612903,3.127135958578589e-05,0.3020235492787729,1.3525930789259144,8.3370173883614e-18
1_ERV_vs_LINE_SINE,TASOR,Stim48hr,unmarked_ERV,54,1.7715506512901353,0.03286522064845842,0.2763229325380562,1.3182735087063648,0.0318458645079005
1_ERV_vs_LINE_SINE,TASOR,Stim48hr,LINE,54,1.2288688450192875,0.29545595153194915,0.5046364416105704,1.6563832189662386,0.001221212692996874
1_ERV_vs_LINE_SINE,TASOR,Stim48hr,SINE,54,0.05671671538665958,0.9999998089988886,-1.7555549134900943,0.17281132034708568,9.631739969289549e-07
